time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.setpoint
2020/11/26/18:34:22.014984,155,1606412062,14601945,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.034931,156,1606412062,34605979,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.054910,157,1606412062,54594039,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.075021,158,1606412062,74695110,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.095034,159,1606412062,94650030,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.114967,160,1606412062,114614009,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.134964,161,1606412062,134572982,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.154969,162,1606412062,154572963,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.174971,163,1606412062,174583911,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.194922,164,1606412062,194603919,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.214866,165,1606412062,214584112,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.234878,166,1606412062,234585046,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.254987,167,1606412062,254657983,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.274961,168,1606412062,274589061,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.294928,169,1606412062,294579982,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.314839,170,1606412062,314593076,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.334910,171,1606412062,334640026,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.354975,172,1606412062,354545116,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:22.374958,173,1606412062,374630928,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
